artnamn;scientificName;author;redlistCategory;observationCount25y
Ekar;Quercus;L.;;181580
Skogsek;Quercus robur;L.;;130008
Ask;Fraxinus excelsior;L.;EN;88289
Lindar;Tilia;L.;;65932
Skogslönn;Acer platanoides;L.;;62315
Björkar;Betula;L.;;52565
Asp;Populus tremula;L.;;51952
Bok;Fagus sylvatica;L.;;43799
Tall;Pinus sylvestris;L.;;24835
Almar;Ulmus;L.;;16994
Klibbal;Alnus glutinosa;(L.) Gaertn.;;16928
Gran;Picea abies;(L.) H. Karst.;;15646
Skogsalm;Ulmus glabra;Huds.;EN;15160
Oxel;Sorbus intermedia;(Ehrh.) Pers.;;12577
Sälg;Salix caprea;L.;;11720
Skogslind;Tilia cordata;Mill.;;11005
Sötkörsbär;Prunus avium;(L.) L.;;9089
Obestämt trädslag;Arbores;;;7524
Vårtbjörk;Betula pendula;Roth;;5881
Aplar;Malus;Mill.;;5069
Rönn;Sorbus aucuparia;L.;;4326
Glasbjörk;Betula pubescens;Ehrh.;;3703
Lundalm;Ulmus minor;Mill.;EN;3570
Popplar;Populus;L.;;3404
Pil (aggregat);Salix alba agg.;;;3269
Avenbok;Carpinus betulus;L.;;2800
Apel;Malus domestica;Borkh.;;2258
Vårtbjörk (aggregat);Betula pendula agg.;;;1854
Lönnar;Acer;L.;;1509
Lärk;Larix decidua;Mill.;;1033
Parklind;Tilia × europaea;L.;;849
Tysklönn;Acer pseudoplatanus;L.;;584
Vildapel;Malus sylvestris;(L.) Mill.;;555
Bergek;Quercus petraea;(Matt.) Liebl.;;437
Viden;Salix;L.;;425
Gråal;Alnus incana;(L.) Moench;;374
Vitpil;Salix alba;L.;;315
Knäckepil;Salix euxina;V. Belyaeva;;301
Hassel;Corylus avellana;L.;;274
En;Juniperus communis;L.;;228
Hagtornar;Crataegus;L.;;220
Vanlig gran;Picea abies subsp. abies;;;137
Lärkar;Larix;Mill.;;124
Alar;Alnus;Mill.;;112
Vresalm;Ulmus laevis;Pall.;CR;83
Idegran;Taxus baccata;L.;;77
Vanlig tall;Pinus sylvestris var. sylvestris;;;67
Knäckepil (aggregat);Salix fragilis agg.;;;44
Bohuslind;Tilia platyphyllos;Scop.;CR;43
Oxlar;Sorbus;L.;;34
Skogsek (aggregat);Quercus robur agg.;;;34
Europeisk lärk;Larix decidua subsp. decidua;;;19
Jolster;Salix pentandra;L.;;14
Balsampoppel;Populus balsamifera;L.;;12
Vanlig sälg;Salix caprea subsp. caprea;;;12
Svartpoppel;Populus nigra;L.;;11
Kanadapoppel;Populus × canadensis;Moench;;10
Vanlig vårtbjörk;Betula pendula var. pendula;Roth;NE;9
Silverpoppel;Populus alba;L.;;9
Bokar;Fagus;L.;;8
Rödek;Quercus rubra;L.;;8
Vanlig skogsalm;Ulmus glabra subsp. glabra;;NE;7
Naverlönn;Acer campestre;L.;CR;7
Grönpil;Salix × fragilis;L.;;6
Vanlig en;Juniperus communis var. communis;;NE;5
Trubbhagtorn;Crataegus monogyna;Jacq.;;4
Askar;Fraxinus;L.;;4
Silverpil;Salix alba var. sericea;Gaudin;;3
Silverlönn;Acer saccharinum;L.;;3
Mannaask;Fraxinus ornus;L.;;3
Bergek × skogsek;Quercus petraea × robur;;;2
Gulpil;Salix × fragilis f. vitellina;I.V.Belyaeva;;2
Vitoxel;Sorbus aria;(L.) Crantz;;1
Turkisk ek;Quercus cerris;L.;;1
Vanlig glasbjörk;Betula pubescens subsp. pubescens;;NE;1
Gråpoppel;Populus × canescens;(Aiton) Sm.;;1
Hästkastanj;Aesculus hippocastanum;L.;;11324
